data,denominazione_regione,totale_casi,terapia_intensiva,ricoverati_con_sintomi,totale_casi_lag,incremento,PL_area_non_critica,PL_terapia_intensiva,popolazione,nuovi_vaccinati,vaccinati,incidenza,saturazione_ti,saturazione_area_non_critica,casi_soglia_50,casi_soglia_150,casi_soglia_250,vaccinati_suscettibili,suscettibili,casi_soglia_50_suscettibili,casi_soglia_150_suscettibili,casi_soglia_250_suscettibili,soglia_50_effettiva,soglia_150_effettiva,soglia_250_effettiva,moltiplicatore_vaccini,soglia_50_equivalente,soglia_150_equivalente,soglia_250_equivalente,indicatore_stress
2021-01-02,Veneto,261845,372,2668,237315,24530,6000,1000,4852453,9,20,505.52,0.37,0.44,2426.23,7278.68,12131.13,1,4852434,2426.22,7278.65,12131.09,50,150,250,1,50,150,250,10.11
2021-01-02,Italia,2141201,2569,22948,2038783,102418,55543,8549,59257566,64,140,172.84,0.3,0.41,29628.78,88886.35,148143.91,7,59257433,29628.72,88886.15,148143.58,50,150,250,1,50,150,250,3.46
2021-01-03,Abruzzo,35953,41,445,34496,1457,1324,185,1285256,1,1,113.36,0.22,0.34,642.63,1927.88,3213.14,0,1285255,642.63,1927.88,3213.14,50,150,250,1,50,150,250,2.27
2021-01-03,Basilicata,11102,3,97,10481,621,342,88,547579,1,3,113.41,0.03,0.28,273.79,821.37,1368.95,0,547576,273.79,821.36,1368.94,50,150,250,1,50,150,250,2.27
2021-01-03,Calabria,24590,19,242,22694,1896,821,151,1877728,1,1,100.97,0.13,0.29,938.86,2816.59,4694.32,0,1877727,938.86,2816.59,4694.32,50,150,250,1,50,150,250,2.02
2021-01-03,Campania,192418,98,1362,186131,6287,3832,569,5679759,5,20,110.69,0.17,0.36,2839.88,8519.64,14199.4,1,5679740,2839.87,8519.61,14199.35,50,150,250,1,50,150,250,2.21
2021-01-03,Emilia-Romagna,177988,234,2657,166327,11661,6538,760,4445549,0,8,262.31,0.31,0.41,2222.77,6668.32,11113.87,0,4445541,2222.77,6668.31,11113.85,50,150,250,1,50,150,250,5.25
2021-01-03,Friuli Venezia Giulia,51301,61,658,47667,3634,1277,175,1198753,1,5,303.15,0.35,0.52,599.38,1798.13,2996.88,0,1198748,599.37,1798.12,2996.87,50,150,250,1,50,150,250,6.06
2021-01-03,Lazio,167920,309,2824,157767,10153,6421,943,5720796,15,31,177.48,0.33,0.44,2860.4,8581.19,14301.99,2,5720767,2860.38,8581.15,14301.92,50,150,250,1,50,150,250,3.55
2021-01-03,Liguria,61305,71,696,59104,2201,1670,214,1509805,0,2,145.78,0.33,0.42,754.9,2264.71,3774.51,0,1509803,754.9,2264.7,3774.51,50,150,250,1,50,150,250,2.92
